sugar_level,ph_level,alcohol_level,fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,class
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.9,0.54,0.45,0.071,16.0,40.0,0.9991,0.62,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.5,0.59,0.44,0.071,21.0,68.0,0.9992,0.63,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.9,0.54,0.45,0.071,16.0,40.0,0.9991,0.62,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.5,0.59,0.44,0.071,21.0,68.0,0.9992,0.63,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.9,0.54,0.45,0.071,16.0,40.0,0.9991,0.62,low
> 3.0,3.25 - 3.50,10.0 - 10.5,7.8,0.64,0.1,0.115,5.0,11.0,0.9984,0.69,high
> 3.0,3.25 - 3.50,10.0 - 10.5,7.3,0.67,0.05,0.107,6.0,20.0,0.9972,0.63,low
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,8.3,0.845,0.01,0.07,5.0,14.0,0.9967,0.58,low
2.5 - 3.0,3.25 - 3.50,11.0 - 11.5,8.7,0.48,0.3,0.066,10.0,28.0,0.9964,0.67,high
> 3.0,3.00 - 3.25,11.0 - 11.5,6.7,0.42,0.27,0.068,24.0,148.0,0.9948,0.57,high
2.0 - 2.5,2.74 - 3.00,9.5 - 10.0,10.7,0.43,0.39,0.106,8.0,32.0,0.9986,0.5,low
2.0 - 2.5,3.25 - 3.50,11.0 - 11.5,9.8,0.88,0.25,0.10400000000000001,35.0,155.0,1.001,0.67,low
> 3.0,2.74 - 3.00,> 12.0,15.9,0.36,0.65,0.096,22.0,71.0,0.9976,0.84,low
2.5 - 3.0,3.00 - 3.25,11.5 - 12.0,9.4,0.33,0.59,0.079,9.0,30.0,0.9976,0.54,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,8.6,0.47,0.47,0.07400000000000001,7.0,29.0,0.9979,0.46,low
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,9.7,0.55,0.17,0.087,20.0,53.0,1.0004,0.61,low
2.0 - 2.5,2.74 - 3.00,9.5 - 10.0,10.7,0.43,0.39,0.106,8.0,32.0,0.9986,0.5,low
<= 1.5,2.74 - 3.00,10.0 - 10.5,12.0,0.5,0.59,0.073,23.0,42.0,0.998,0.68,high
<= 1.5,3.25 - 3.50,9.5 - 10.0,7.2,0.52,0.07,0.07400000000000001,5.0,20.0,0.9973,0.81,high
> 3.0,3.25 - 3.50,10.5 - 11.0,7.1,0.84,0.02,0.096,5.0,13.0,0.997,0.57,low
<= 1.5,3.25 - 3.50,9.5 - 10.0,7.2,0.52,0.07,0.07400000000000001,5.0,20.0,0.9973,0.81,high
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.5,0.42,0.31,0.08,15.0,42.0,0.9978,0.64,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.2,0.57,0.06,0.076,9.0,27.0,0.9972,0.7,high
1.5 - 2.0,3.00 - 3.25,10.0 - 10.5,10.1,0.28,0.46,0.05,5.0,13.0,0.9974,0.79,high
1.5 - 2.0,3.00 - 3.25,10.0 - 10.5,12.1,0.4,0.52,0.092,15.0,54.0,1.0,0.66,low
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,9.4,0.59,0.14,0.084,25.0,48.0,0.9981,0.56,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.3,0.49,0.36,0.222,6.0,16.0,0.998,0.6,high
1.5 - 2.0,2.74 - 3.00,9.0 - 9.5,11.3,0.34,0.45,0.08199999999999999,6.0,15.0,0.9988,0.66,high
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,10.0,0.73,0.43,0.059000000000000004,15.0,31.0,0.9966,0.57,low
1.5 - 2.0,2.74 - 3.00,9.0 - 9.5,11.3,0.34,0.45,0.08199999999999999,6.0,15.0,0.9988,0.66,high
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,6.9,0.4,0.24,0.083,30.0,45.0,0.9959,0.58,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.2,0.73,0.21,0.07400000000000001,5.0,13.0,0.9968,0.52,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,9.8,1.24,0.34,0.079,32.0,151.0,0.998,0.53,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.2,0.73,0.21,0.07400000000000001,5.0,13.0,0.9968,0.52,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,10.8,0.4,0.41,0.084,7.0,17.0,0.9984,0.67,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,9.3,0.41,0.39,0.064,12.0,31.0,0.9984,0.65,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,10.8,0.4,0.41,0.084,7.0,17.0,0.9984,0.67,high
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,8.6,0.8,0.11,0.084,12.0,31.0,0.9979,0.48,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,8.3,0.78,0.1,0.081,45.0,87.0,0.9983,0.53,low
> 3.0,3.00 - 3.25,9.5 - 10.0,10.8,0.26,0.45,0.06,20.0,49.0,0.9972,0.54,low
1.5 - 2.0,3.00 - 3.25,<= 9.0,13.3,0.43,0.58,0.07,15.0,40.0,1.0004,0.49,low
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,8.0,0.45,0.23,0.094,16.0,29.0,0.9962,0.49,high
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,8.5,0.46,0.31,0.078,32.0,58.0,0.998,0.54,low
2.5 - 3.0,3.25 - 3.50,11.0 - 11.5,8.1,0.78,0.23,0.059000000000000004,5.0,15.0,0.997,0.56,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.8,0.98,0.32,0.078,35.0,152.0,0.998,0.48,low
2.5 - 3.0,3.25 - 3.50,11.0 - 11.5,8.1,0.78,0.23,0.059000000000000004,5.0,15.0,0.997,0.56,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.1,0.65,0.18,0.07,13.0,40.0,0.997,0.6,low
> 3.0,3.25 - 3.50,9.5 - 10.0,9.1,0.64,0.23,0.095,13.0,38.0,0.9998,0.59,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.7,0.66,0.04,0.039,4.0,9.0,0.9962,0.47,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,8.1,0.38,0.48,0.157,5.0,17.0,0.9976,1.05,low
> 3.0,3.50 - 3.75,10.5 - 11.0,7.4,1.185,0.0,0.09699999999999999,5.0,14.0,0.9966,0.54,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,9.2,0.92,0.24,0.087,12.0,93.0,0.9998,0.54,low
1.5 - 2.0,3.00 - 3.25,<= 9.0,8.6,0.49,0.51,0.42200000000000004,16.0,62.0,0.9979,1.17,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,9.0,0.48,0.32,0.084,21.0,122.0,0.9984,0.62,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,9.0,0.47,0.31,0.084,24.0,125.0,0.9984,0.61,low
<= 1.5,3.50 - 4.01,> 12.0,5.1,0.47,0.02,0.034,18.0,44.0,0.9921,0.62,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.0,0.65,0.02,0.066,8.0,25.0,0.9972,0.67,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.0,0.65,0.02,0.066,8.0,25.0,0.9972,0.67,high
> 3.0,3.25 - 3.50,9.5 - 10.0,9.4,0.615,0.28,0.087,18.0,72.0,1.0001,0.53,low
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,11.8,0.38,0.55,0.071,5.0,19.0,0.9986,0.62,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,10.6,1.02,0.43,0.076,26.0,88.0,0.9984,0.57,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.0,0.65,0.02,0.066,8.0,25.0,0.9972,0.67,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.0,0.64,0.02,0.067,9.0,23.0,0.997,0.67,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,7.5,0.38,0.48,0.073,22.0,84.0,0.9972,0.7,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,9.1,0.765,0.04,0.078,4.0,14.0,0.998,0.54,low
> 3.0,3.25 - 3.50,9.5 - 10.0,8.4,1.035,0.15,0.073,11.0,54.0,0.9990000000000001,0.49,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.0,0.78,0.08,0.09300000000000001,10.0,19.0,0.9956,0.47,low
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,7.4,0.49,0.19,0.077,16.0,37.0,0.9966,0.51,low
2.0 - 2.5,3.25 - 3.50,11.5 - 12.0,7.8,0.545,0.12,0.068,11.0,35.0,0.996,0.61,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,9.7,0.31,0.47,0.062,13.0,33.0,0.9983,0.66,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,10.6,1.025,0.43,0.08,21.0,84.0,0.9985,0.57,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.9,0.565,0.34,0.09300000000000001,16.0,112.0,0.9998,0.61,low
> 3.0,3.25 - 3.50,9.0 - 9.5,8.7,0.69,0.0,0.084,13.0,33.0,0.9992,0.45,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.0,0.43,0.36,0.075,10.0,48.0,0.9976,0.46,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,9.9,0.74,0.28,0.078,21.0,77.0,0.998,0.51,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,7.2,0.49,0.18,0.069,13.0,34.0,0.9967,0.48,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.0,0.43,0.36,0.075,10.0,48.0,0.9976,0.46,low
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,7.6,0.46,0.11,0.079,12.0,49.0,0.9968,0.57,low
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,8.4,0.56,0.04,0.08199999999999999,10.0,22.0,0.9976,0.44,low
> 3.0,3.25 - 3.50,9.0 - 9.5,7.1,0.66,0.0,0.086,17.0,45.0,0.9976,0.54,low
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,8.4,0.56,0.04,0.08199999999999999,10.0,22.0,0.9976,0.44,low
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,8.9,0.48,0.24,0.094,35.0,106.0,0.9982,0.53,low
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,7.6,0.42,0.08,0.084,15.0,48.0,0.9968,0.59,low
2.0 - 2.5,2.74 - 3.00,9.0 - 9.5,7.1,0.31,0.3,0.053,36.0,127.0,0.9965,1.62,low
> 3.0,3.50 - 3.75,11.0 - 11.5,7.5,1.115,0.1,0.086,5.0,12.0,0.9958,0.6,low
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,9.0,0.66,0.17,0.077,5.0,13.0,0.9976,0.55,low
2.5 - 3.0,3.25 - 3.50,11.0 - 11.5,8.1,0.72,0.09,0.084,18.0,49.0,0.9994,0.72,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.4,0.57,0.02,0.067,4.0,11.0,0.997,0.68,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.4,0.57,0.02,0.067,4.0,11.0,0.997,0.68,low
> 3.0,3.50 - 3.75,> 12.0,6.4,0.865,0.03,0.071,27.0,58.0,0.995,0.49,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,9.5,0.55,0.66,0.387,12.0,37.0,0.9982,0.67,low
> 3.0,3.25 - 3.50,11.0 - 11.5,8.9,0.875,0.13,0.08800000000000001,4.0,14.0,0.9994,0.52,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.3,0.835,0.03,0.092,10.0,19.0,0.9966,0.47,low
2.5 - 3.0,3.50 - 3.75,9.0 - 9.5,7.0,0.45,0.34,0.08199999999999999,16.0,72.0,0.998,0.6,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.7,0.56,0.2,0.075,9.0,39.0,0.9987,0.62,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.7,0.965,0.1,0.11199999999999999,11.0,22.0,0.9963,0.5,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.7,0.965,0.1,0.11199999999999999,11.0,22.0,0.9963,0.5,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.2,0.59,0.0,0.09300000000000001,19.0,58.0,1.0002,0.65,high
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,9.0,0.46,0.23,0.092,28.0,104.0,0.9983,0.56,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.0,0.69,0.0,0.08800000000000001,19.0,38.0,0.9990000000000001,0.6,low
> 3.0,3.25 - 3.50,11.0 - 11.5,8.3,0.76,0.29,0.075,12.0,16.0,0.9965,0.68,high
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,9.2,0.53,0.24,0.078,28.0,139.0,0.9978799999999999,0.57,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.5,0.615,0.0,0.065,9.0,18.0,0.9972,0.65,low
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,11.6,0.41,0.58,0.096,25.0,101.0,1.00024,0.53,low
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,11.1,0.39,0.54,0.095,21.0,101.0,1.0001,0.51,low
2.0 - 2.5,3.50 - 3.75,9.0 - 9.5,7.3,0.51,0.18,0.07,12.0,28.0,0.9976799999999999,0.73,high
2.0 - 2.5,3.25 - 3.50,<= 9.0,8.2,0.34,0.38,0.08,12.0,57.0,0.9978,0.47,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.6,0.33,0.4,0.083,16.0,68.0,0.99782,0.48,low
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,7.2,0.5,0.18,0.071,12.0,31.0,0.99761,0.72,high
2.0 - 2.5,3.50 - 3.75,9.0 - 9.5,7.3,0.51,0.18,0.07,12.0,28.0,0.9976799999999999,0.73,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.3,0.65,0.1,0.08900000000000001,17.0,40.0,0.99803,0.55,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.3,0.65,0.1,0.08900000000000001,17.0,40.0,0.99803,0.55,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.6,0.54,0.13,0.09699999999999999,24.0,66.0,0.99785,0.61,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.3,0.65,0.1,0.08900000000000001,17.0,40.0,0.99803,0.55,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.8,0.48,0.68,0.415,14.0,32.0,0.99656,1.06,high
1.5 - 2.0,3.50 - 3.75,10.5 - 11.0,7.8,0.91,0.07,0.057999999999999996,22.0,47.0,0.99525,0.43,high
1.5 - 2.0,3.50 - 3.75,11.0 - 11.5,6.3,0.98,0.01,0.057,15.0,33.0,0.9948799999999999,0.46,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,8.1,0.87,0.0,0.084,10.0,31.0,0.99656,0.5,low
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,8.1,0.87,0.0,0.084,10.0,31.0,0.99656,0.5,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,8.8,0.42,0.21,0.092,33.0,88.0,0.99823,0.52,low
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,9.0,0.58,0.25,0.075,9.0,104.0,0.99779,0.57,low
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,9.3,0.655,0.26,0.096,5.0,35.0,0.9973799999999999,0.42,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,8.8,0.7,0.0,0.069,8.0,19.0,0.9970100000000001,0.53,high
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,9.3,0.655,0.26,0.096,5.0,35.0,0.9973799999999999,0.42,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,9.1,0.68,0.11,0.09300000000000001,11.0,44.0,0.9988799999999999,0.55,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,9.2,0.67,0.1,0.091,12.0,48.0,0.9988799999999999,0.54,high
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,8.8,0.59,0.18,0.08900000000000001,12.0,74.0,0.9973799999999999,0.54,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,7.5,0.6,0.32,0.10300000000000001,13.0,98.0,0.9993799999999999,0.62,low
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,7.1,0.59,0.02,0.08199999999999999,24.0,94.0,0.99744,0.53,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.9,0.72,0.01,0.076,7.0,32.0,0.9966799999999999,0.54,low
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,7.1,0.59,0.02,0.08199999999999999,24.0,94.0,0.99744,0.53,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.4,0.685,0.26,0.08199999999999999,23.0,143.0,0.9978,0.55,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.5,0.57,0.27,0.08199999999999999,23.0,144.0,0.99782,0.55,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.9,0.4,0.29,0.157,1.0,44.0,0.9973,0.92,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.9,0.4,0.3,0.157,2.0,45.0,0.9972700000000001,0.91,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,7.2,1.0,0.0,0.102,7.0,16.0,0.9958600000000001,0.46,low
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,6.9,0.765,0.18,0.243,5.5,48.0,0.9961200000000001,0.6,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,6.9,0.635,0.17,0.24100000000000002,6.0,18.0,0.9961,0.59,high
> 3.0,3.25 - 3.50,10.0 - 10.5,8.3,0.43,0.3,0.079,7.0,34.0,0.9978799999999999,0.61,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,7.1,0.52,0.03,0.076,21.0,92.0,0.99745,0.6,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.0,0.57,0.0,0.19,12.0,45.0,0.9967600000000001,0.6,high
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,6.5,0.46,0.14,0.114,9.0,37.0,0.9973200000000001,0.65,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,9.0,0.82,0.05,0.081,26.0,96.0,0.9981399999999999,0.53,low
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,6.5,0.46,0.14,0.114,9.0,37.0,0.9973200000000001,0.65,low
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,7.1,0.59,0.01,0.077,20.0,85.0,0.99746,0.59,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.9,0.35,0.41,0.083,11.0,61.0,0.9982,0.5,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.9,0.35,0.41,0.083,11.0,61.0,0.9982,0.5,low
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,10.0,0.56,0.24,0.079,19.0,58.0,0.9991,0.56,high
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,10.0,0.56,0.24,0.079,19.0,58.0,0.9991,0.56,high
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,8.6,0.63,0.17,0.099,21.0,119.0,0.998,0.52,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,7.4,0.37,0.43,0.08199999999999999,18.0,82.0,0.99708,0.68,high
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,8.8,0.64,0.17,0.084,25.0,130.0,0.99818,0.54,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.1,0.61,0.02,0.081,17.0,87.0,0.99745,0.6,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,7.7,0.6,0.0,0.055,7.0,13.0,0.99639,0.56,low
2.0 - 2.5,3.00 - 3.25,> 12.0,10.1,0.27,0.54,0.065,7.0,26.0,0.99531,0.53,high
2.5 - 3.0,2.74 - 3.00,10.0 - 10.5,10.8,0.89,0.3,0.132,7.0,60.0,0.9978600000000001,1.18,low
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,8.7,0.46,0.31,0.126,24.0,64.0,0.99746,0.74,low
1.5 - 2.0,3.00 - 3.25,10.5 - 11.0,9.3,0.37,0.44,0.038,21.0,42.0,0.99526,0.81,high
> 3.0,3.25 - 3.50,10.5 - 11.0,9.4,0.5,0.34,0.08199999999999999,5.0,14.0,0.9987,0.52,high
> 3.0,3.25 - 3.50,10.5 - 11.0,9.4,0.5,0.34,0.08199999999999999,5.0,14.0,0.9987,0.52,high
> 3.0,3.00 - 3.25,9.0 - 9.5,7.2,0.61,0.08,0.08199999999999999,26.0,108.0,0.99641,0.51,low
> 3.0,3.00 - 3.25,9.5 - 10.0,8.6,0.55,0.09,0.068,8.0,17.0,0.99735,0.44,low
1.5 - 2.0,3.50 - 3.75,> 12.0,5.1,0.585,0.0,0.044000000000000004,14.0,86.0,0.99264,0.94,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,7.7,0.56,0.08,0.114,14.0,46.0,0.9971,0.66,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,8.4,0.52,0.22,0.084,4.0,18.0,0.99682,0.57,high
2.0 - 2.5,3.25 - 3.50,> 12.0,8.2,0.28,0.4,0.052000000000000005,4.0,10.0,0.99356,0.7,high
1.5 - 2.0,3.25 - 3.50,> 12.0,8.4,0.25,0.39,0.040999999999999995,4.0,10.0,0.9938600000000001,0.71,high
2.0 - 2.5,3.25 - 3.50,> 12.0,8.2,0.28,0.4,0.052000000000000005,4.0,10.0,0.99356,0.7,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.4,0.53,0.12,0.165,4.0,12.0,0.99702,0.86,low
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,7.6,0.48,0.31,0.07,4.0,15.0,0.9969299999999999,0.55,high
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,7.3,0.49,0.1,0.068,4.0,14.0,0.9956200000000001,0.47,low
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,12.9,0.5,0.55,0.07200000000000001,7.0,24.0,1.0001200000000001,0.68,high
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,10.8,0.45,0.33,0.099,20.0,38.0,0.99818,0.71,low
2.0 - 2.5,3.25 - 3.50,11.0 - 11.5,6.9,0.39,0.24,0.102,4.0,7.0,0.9946200000000001,0.58,low
2.5 - 3.0,3.00 - 3.25,11.0 - 11.5,12.6,0.41,0.54,0.10300000000000001,19.0,41.0,0.99939,0.76,high
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,10.8,0.45,0.33,0.099,20.0,38.0,0.99818,0.71,low
> 3.0,3.00 - 3.25,10.0 - 10.5,9.8,0.51,0.19,0.081,8.0,30.0,0.9984,0.58,high
1.5 - 2.0,3.25 - 3.50,11.5 - 12.0,10.8,0.29,0.42,0.084,19.0,27.0,0.99545,0.73,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.1,0.715,0.0,0.071,21.0,47.0,0.9963200000000001,0.45,low
> 3.0,3.25 - 3.50,9.5 - 10.0,9.1,0.66,0.15,0.09699999999999999,9.0,59.0,0.99976,0.54,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.0,0.685,0.0,0.099,9.0,22.0,0.9960600000000001,0.6,low
2.0 - 2.5,3.50 - 3.75,> 12.0,4.9,0.42,0.0,0.048,16.0,42.0,0.99154,0.74,high
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,6.7,0.54,0.13,0.076,15.0,36.0,0.9973,0.64,low
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,6.7,0.54,0.13,0.076,15.0,36.0,0.9973,0.64,low
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,7.1,0.48,0.28,0.068,6.0,16.0,0.99682,0.53,low
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,7.1,0.46,0.14,0.076,15.0,37.0,0.99624,0.49,low
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,7.5,0.27,0.34,0.05,4.0,8.0,0.9951,0.64,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,7.1,0.46,0.14,0.076,15.0,37.0,0.99624,0.49,low
2.0 - 2.5,3.25 - 3.50,> 12.0,7.8,0.57,0.09,0.065,34.0,45.0,0.9941700000000001,0.74,high
2.0 - 2.5,3.50 - 3.75,11.0 - 11.5,5.9,0.61,0.08,0.071,16.0,24.0,0.9937600000000001,0.77,high
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,7.5,0.685,0.07,0.057999999999999996,5.0,9.0,0.9963200000000001,0.55,low
2.0 - 2.5,3.50 - 3.75,11.0 - 11.5,5.9,0.61,0.08,0.071,16.0,24.0,0.9937600000000001,0.77,high
<= 1.5,3.25 - 3.50,9.5 - 10.0,10.4,0.44,0.42,0.145,34.0,48.0,0.9983200000000001,0.86,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,11.6,0.47,0.44,0.147,36.0,51.0,0.99836,0.86,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,8.8,0.685,0.26,0.08800000000000001,16.0,23.0,0.9969399999999999,0.47,low
<= 1.5,3.25 - 3.50,9.0 - 9.5,7.6,0.665,0.1,0.066,27.0,55.0,0.99655,0.51,low
2.0 - 2.5,3.25 - 3.50,11.5 - 12.0,6.7,0.28,0.28,0.012,36.0,100.0,0.99064,0.39,high
2.0 - 2.5,3.25 - 3.50,11.5 - 12.0,6.7,0.28,0.28,0.012,36.0,100.0,0.99064,0.39,high
1.5 - 2.0,3.00 - 3.25,11.0 - 11.5,10.1,0.31,0.35,0.075,9.0,28.0,0.99672,0.83,high
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,6.0,0.5,0.04,0.092,13.0,26.0,0.9964700000000001,0.47,low
2.5 - 3.0,3.00 - 3.25,> 12.0,11.1,0.42,0.47,0.085,9.0,34.0,0.99736,0.77,high
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,6.6,0.66,0.0,0.115,21.0,31.0,0.99629,0.63,low
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,10.6,0.5,0.45,0.11900000000000001,34.0,68.0,0.99708,0.72,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.1,0.685,0.35,0.08800000000000001,9.0,92.0,0.9963,0.62,low
1.5 - 2.0,3.00 - 3.25,10.5 - 11.0,9.9,0.25,0.46,0.062,26.0,42.0,0.9959,0.83,high
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,6.4,0.64,0.21,0.081,14.0,31.0,0.9968899999999999,0.66,low
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,6.4,0.64,0.21,0.081,14.0,31.0,0.9968899999999999,0.66,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.4,0.68,0.16,0.078,12.0,39.0,0.9977,0.7,high
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,6.4,0.64,0.21,0.081,14.0,31.0,0.9968899999999999,0.66,low
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,6.4,0.63,0.21,0.08,12.0,32.0,0.9968899999999999,0.66,low
